5922727;473170;727148;5922727C;6575863;473310;727086;6575863C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.2;Nie
5922727;473170;727148;5922727C;6440481;473258;727136;6440481C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.1;Nie
6285562;473229;727026;6285562C;6452463;473179;727027;6452463C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.1;Nie
6285562;473229;727026;6285562C;5759888;473295;726901;5759888C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.3;Nie
5922727;473170;727148;5922727C;5923650;473249;727188;5923650C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.2;Nie
5691544;473472;727046;5691544C;5670558;473471;726998;5670558C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.2;Nie
5692321;473770;727053;5692321C;6547381;473771;727072;6547381C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.1;Nie
6483583;473422;727154;6483583C;6533199;473395;727296;6533199C;3s Spółka Akcyjna;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.2;Nie
6024200;473941;727269;6024200C;6248405;473888;727257;6248405C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.1;Nie
6406995;474222;727237;6406995C;6225624;474279;727251;6225624C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.1;Nie
5800115;474473;726876;5800115C;6412395;473699;727206;6412395C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.2;Nie
6766453;472966;727138;6766453N;5668780;472949;726883;5668780C;UPC POLSKA sp. z o.o.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.1;Nie
6766453;472966;727138;6766453N;5668780;472949;726883;5668780C;UPC POLSKA sp. z o.o.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.4;Nie
6483585;473187;726685;6483585C;6533201;472949;726579;6533201C;3s Spółka Akcyjna;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.4;Nie
6766453;472966;727138;6766453N;6647093;472970;727256;6647093N;UPC POLSKA sp. z o.o.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.1;Nie
6766286;472996;726737;6766286N;6647098;473021;726733;6647098N;UPC POLSKA sp. z o.o.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.1;Nie
6474846;473039;727132;6474846C;5922727;473170;727148;5922727C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.2;Nie
5972903;473187;726685;5972903C;6164589;472979;726676;6164589C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.4;Nie
6556845;473030;727023;6556845C;5721994;473022;727037;5721994C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.2;Nie
5972903;473187;726685;5972903C;5956386;473012;726760;5956386C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.3;Nie
5669474;473512;726801;5669474C;6634275;473408;726486;6634275N;UPC POLSKA sp. z o.o.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.7;Nie
5858505;473801;726739;5858505C;5747739;473871;726708;5747739C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.2;Nie
5691544;473472;727046;5691544C;5858505;473801;726739;5858505C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.8;Nie
5669478;473800;727228;5669478C;5669474;473512;726801;5669474C;UPC POLSKA sp. z o.o.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.7;Nie
5692321;473770;727053;5692321C;5684671;473672;726902;5684671C;Orange Polska S.A.;światłowodowe;-;Tak;Nie;-;-;-;podziemny w kanalizacji;0.3;Nie
